index,date,ON
642,16-Nov-2016,0.17
643,17-Nov-2016,0.33
644,18-Nov-2016,0.11
645,21-Nov-2016,0.12
646,22-Nov-2016,0.185
647,23-Nov-2016,0.39
648,24-Nov-2016,0.31
649,25-Nov-2016,0.12
650,28-Nov-2016,0.2
651,29-Nov-2016,0.62
652,30-Nov-2016,0.15
653,1-Dec-2016,0.29
654,2-Dec-2016,0.14
655,5-Dec-2016,0.29
656,6-Dec-2016,0.12
657,7-Dec-2016,0.09
658,8-Dec-2016,0.27
659,9-Dec-2016,0.09
660,12-Dec-2016,0.12
661,13-Dec-2016,0.12
662,14-Dec-2016,0.19
663,15-Dec-2016,0.64
664,16-Dec-2016,0.18
665,19-Dec-2016,0.21
666,20-Dec-2016,0.28
667,21-Dec-2016,0.29
668,22-Dec-2016,1.67
669,23-Dec-2016,0.34
670,26-Dec-2016,0.49
671,27-Dec-2016,0.34
672,28-Dec-2016,0.525
673,29-Dec-2016,12.305
674,30-Dec-2016,1.4
675,2-Jan-2017,0.65
676,3-Jan-2017,0.3
677,4-Jan-2017,0.22
678,5-Jan-2017,0.69
679,6-Jan-2017,0.225
680,9-Jan-2017,0.21
681,10-Jan-2017,0.205
682,11-Jan-2017,0.205
683,12-Jan-2017,0.755
684,13-Jan-2017,0.19
685,16-Jan-2017,0.21
686,17-Jan-2017,0.19
687,18-Jan-2017,0.18
688,19-Jan-2017,0.53
689,20-Jan-2017,0.19
690,23-Jan-2017,0.17
691,24-Jan-2017,0.17
692,25-Jan-2017,0.17
693,26-Jan-2017,0.5
694,27-Jan-2017,0.165
695,30-Jan-2017,0.17
696,31-Jan-2017,0.16
697,1-Feb-2017,0.17
698,2-Feb-2017,0.52
699,3-Feb-2017,0.18
700,6-Feb-2017,0.19
701,7-Feb-2017,0.185
702,8-Feb-2017,0.175
703,9-Feb-2017,0.53
704,10-Feb-2017,0.17
705,13-Feb-2017,0.18
706,14-Feb-2017,0.18
707,15-Feb-2017,0.19
708,16-Feb-2017,0.745
709,17-Feb-2017,0.18
710,20-Feb-2017,0.19
711,21-Feb-2017,0.18
712,22-Feb-2017,0.19
713,23-Feb-2017,0.52
714,24-Feb-2017,0.17
715,27-Feb-2017,0.195
716,28-Feb-2017,0.18
717,1-Mar-2017,0.16
718,2-Mar-2017,0.45
719,3-Mar-2017,0.16
720,6-Mar-2017,0.17
721,7-Mar-2017,0.175
722,8-Mar-2017,0.16
723,9-Mar-2017,0.51
724,10-Mar-2017,0.18
725,13-Mar-2017,0.18
726,14-Mar-2017,0.265
727,15-Mar-2017,0.785
728,16-Mar-2017,0.78
729,17-Mar-2017,0.3
730,20-Mar-2017,0.275
731,21-Mar-2017,0.275
732,22-Mar-2017,0.815
733,23-Mar-2017,0.275
734,24-Mar-2017,0.27
735,27-Mar-2017,0.25
736,28-Mar-2017,0.265
737,29-Mar-2017,0.25
738,30-Mar-2017,0.265
739,31-Mar-2017,0.27
740,3-Apr-2017,0.275
741,4-Apr-2017,0.29
742,5-Apr-2017,0.85
743,6-Apr-2017,0.84
744,7-Apr-2017,0.31
745,10-Apr-2017,0.33
746,11-Apr-2017,0.33
747,12-Apr-2017,1.69
748,13-Apr-2017,0.375
749,14-Apr-2017,0.375
750,17-Apr-2017,0.45
751,18-Apr-2017,0.35
752,19-Apr-2017,0.33
753,20-Apr-2017,0.94
754,21-Apr-2017,0.33
755,24-Apr-2017,0.31
756,25-Apr-2017,0.335
757,26-Apr-2017,0.31
758,27-Apr-2017,1.52
759,28-Apr-2017,0.41
760,1-May-2017,0.375
761,2-May-2017,0.345
762,3-May-2017,0.935
763,4-May-2017,0.91
764,5-May-2017,0.31
765,8-May-2017,0.31
766,9-May-2017,0.3
767,10-May-2017,0.955
768,11-May-2017,0.94
769,12-May-2017,0.32
770,15-May-2017,0.325
771,16-May-2017,0.335
772,17-May-2017,0.34
773,18-May-2017,0.99
774,19-May-2017,0.31
775,22-May-2017,0.31
776,23-May-2017,0.31
777,24-May-2017,0.31
778,25-May-2017,1.19
779,26-May-2017,0.315
780,29-May-2017,0.36
781,30-May-2017,0.35
782,31-May-2017,0.975
783,1-Jun-2017,0.91
784,2-Jun-2017,0.3
785,5-Jun-2017,0.31
786,6-Jun-2017,0.31
787,7-Jun-2017,0.93
788,8-Jun-2017,0.885
789,9-Jun-2017,0.3
790,12-Jun-2017,0.295
791,13-Jun-2017,0.29
792,14-Jun-2017,1.185
793,15-Jun-2017,1.255
794,16-Jun-2017,0.41
795,19-Jun-2017,0.4
796,20-Jun-2017,0.375
797,21-Jun-2017,0.38
798,22-Jun-2017,1.21
799,23-Jun-2017,0.395
800,26-Jun-2017,0.4
